Definição_da_Doença,Indices_ep,Prevenção,teste_rapido_diag,Consequências,Tratamento
"Infecção sexualmente transmissível causada pela bactéria Treponema pallidum
","Em 2018, do total de casos de sífilis congênita, 55,1% são de bebês cujas mães passaram por esquema de tratamento classificado como ""inadequado"", quando houve recebimento de ampolas abaixo do necessário ou início do tratamento menos de um mês antes do parto, por exemplo.

Outras 26,4% não tiveram tratamento; 13,4% não tiveram os dados informados e só 5,1% receberam tratamento registrado como ""adequado"".
",Estimular o uso da camisinha entre jovens como forma de evitar essa e outras infecções.,"Por meio de teste rápido, disponível no SUS. Já o tratamento é feito com penicilina, cujo esquema de administração varia conforme o estágio da doença","Sintomas
Considerada uma doença silenciosa, tem diferentes estágios (primária, secundária, latente e terciária). Seus sintomas podem aparecer e desaparecer, e a doença ficar latente no organismo

Fases
Na fase primária, ferida nos órgãos genitais que não dói, não coça e não arde, e que pode ser acompanhada de caroços na virilha. Na fase secundária, podem ocorrer manchas no corpo, incluindo nas palmas das mãos e plantas dos pés, além de febre, dor de cabeça, mal-estar e ínguas pelo corpo. Em seguida, a doença pode ficar um longo período sem sintomas. Na fase terciária, podem ocorrer complicações graves, como cegueira, paralisia, doença cardíaca, lesões neurológicas. Se não tratada, pode levar à morte","Já o tratamento, penicilina, foi descoberto em 1928. O que falta? Determinação de gestão"","
"Se tratada adequadamente, a sífilis tem cura. No entanto, depois de a pessoa ficar livre da bactéria causadora da infecção — a Treponema pallidum —, ela pode voltar a se contaminar, se houver nova exposição. ","Uma epidemia preocupa as autoridades de saúde do país e do Distrito Federal. Os casos de sífilis adquirida subiram 334,1% em oito anos, segundo dados da Secretaria de Saúde do DF. O monitoramento desse número começou em 2010. Naquele ano, houve 424 notificações na capital federal. Em 2018, a quantidade alcançou 1.841 registros. Em oito anos, foram 9.192 ocorrências. Os dados referentes ao ano passado, antecipados ao Correio, devem ser publicados pela pasta até o fim do mês.",A única forma de prevenir a doença é por meio do uso da camisinha durante as relações sexuais. ,"Que temos insumos de prevenção disponíveis e à disposição em todas as UBSs; temos testagem, para fazer o diagnóstico; tratamento; insumos para monitoramento. Temos todas as ferramentas para conter essa epidemia.","a sífilis pode não apresentar sinais ou sintomas e, na fase mais grave, provocar lesões em órgãos vitais e levar à morte.","o tratamento disponível é por meio da administração de penicilina benzatina, a Benzetacil, que pode ser indicada até três vezes."
"uma infecção sexualmente transmissível (IST), para prevenir","Boletim Epidemiológico sobre a doença, em 2017 foram registrados 119.800 casos de sífilis adquirida, 49.013 casos de sífilis em gestantes e 24.666 casos de sífilis congênita (quando a doença passa da mãe para o bebê)","o uso de preservativos masculino ou feminino em todo tipo de relações sexuais, incluindo o sexo oral um pré-natal adequado",O Sistema Único de Saúde (SUS) possui teste rápido para a doença e o resultado sai em até 30 minutos,"baixo peso ao nascer, lesões na pele, problemas respiratórios, até complicações tardias, como alterações de face e ósseas, surdez neurológica, déficit cognitivo e nos casos mais graves a sífilis congênita pode levar a óbito", penicilina benzatina
"O aumento de uma doença tão antiga e vista como superada pela ciência surpreende, já que a sífilis é considerada pelos médicos um mal de diagnóstico fácil e tratamento barato. Como é possível que uma infecção facilmente detectável, que existe há pelo menos 500 anos e cujo tratamento, inventado em 1928, é um dos mais simples e baratos da medicina, atinja um número tão grande de pessoas — e crianças — no Brasil e no mundo?","O boletim mais recente do Ministério da Saúde, divulgado em outubro, aponta que, em 2018, foram registrados 26,3 mil casos de sífilis congênita no país. Desde 2010, quando a doença passou a ser de notificação obrigatória, o aumento foi de 3,8 vezes — passando de 2,4 para 9 casos a cada mil nascidos vivos.","O caminho, dizem os especialistas e o Ministério da Saúde, é conscientizar a população em relação à saúde sexual: reforçar a consciência de que quem tem vida sexual ativa precisa usar camisinha, e se tratar quando alguma doença aparecer. ""Na população jovem, o que se observa é que as pessoas estão parando de usar camisinha. E, no caso da sífilis, é preciso ainda mais cuidado: a relação sexual não é só penetração, e você pode contrair sífilis por sexo oral, o que não é tão fácil com o HIV"", diz Ana Rita Cardoso.","A detecção é feita com um furinho no dedo, de livre acesso (nos postos de saúde), até para adolescentes. Mas mesmo assim a gente não consegue controlar nem erradicar a doença. A conta não fecha"", afirma Mendes.","Nos adultos, a doença tem sintomas que podem evoluir de feridas genitais e manchas no corpo, febre, mal-estar e até lesões na pele, nos ossos e nos sistemas nervoso e cardiovascular, podendo também desenvolver quadros semelhantes à demência e à depressão. Em bebês, os efeitos são ainda mais catastróficos: malformações, microcefalia, comprometimento do sistema nervoso, sequelas na visão, nos músculos, coração e fígado, até aborto ou morte ao nascer, de acordo com a Organização Mundial da Saúde (OMS).","O tratamento é à base de penicilina, extremamente barato."
"A sífilis é uma doença infectocontagiosa, sexualmente transmissível. Embora seja transmitida pelo contato sexual, na maioria dos casos, ela pode aparecer também em decorrência de transfusão de sangue, por contato direto com sangue contaminado ou na forma transplacentária, transmitida da mãe para o feto, em qualquer período da gestação. ","Dados do Boletim Epidemiológico de Sífilis – 2018, publicado em novembro passado pelo Ministério da Saúde, apontam aumento no número de casos dessa enfermidade em todo o país e em todos os cenários da infecção. Em comparação a 2016, houve crescimento de 28,5% na taxa de detecção de sífilis em gestantes, 16,4% na incidência de sífilis congênita e 31,8% na incidência de sífilis adquirida. ","A médica ginecologista Juliana Pierobon, da Altacasa Clínica Médica, adverte que a população sexualmente ativa deve estar atenta e adotar medidas de prevenção, como a realização de exames médicos regulares e, principalmente, o uso de preservativo durante as relações sexuais.","O teste que detecta a sífilis – e também o HIV – é rápido, seguro e sigiloso. É realizado a partir da coleta de uma gota de sangue da ponta do dedo. Depois de 20 minutos, em média, sai o resultado. O diagnóstico precoce é muito importante. Quanto mais rápida é a descoberta da sífilis, mais cedo é possível começar o tratamento, prevenindo doenças oportunistas. ","A sífilis se manifesta inicialmente como uma ferida indolor, mais frequentemente localizada na genitália, no reto ou na boca. Em uma segunda fase, é caracterizada por lesões avermelhadas na pele, inclusive na palma de mãos e planta de pés. A partir daí, ocorre um período sem novos sintomas até a fase final (latência), levando até à morte.","A sífilis tem cura. O tratamento é simples e feito com antibióticos. Todos que tiveram relação sexual sem proteção devem fazer o teste, que está disponível na rede pública de saúde."
"A sífilis tem como principal forma de transmissão as relações sexuais desprotegidas, ou seja, sem o uso de preservativo. A doença é considerada uma infecção sistêmica crônica, de transmissão sexual e vertical (quando é transmitido da mãe para o bebê), provocada pela bactéria espiroqueta Treponema pallidum.","No Brasil, uma das DSTs que mais tem avançado é a sífilis. Segundo um relatório do Ministério da Saúde, entre 2010 e 2018 a doença teve um aumento de 4.157% nos casos. De acordo com o estudo, só durante o ano de 2018, mais de 246 mil pessoas adquiriram a doença no Brasil.","Para Sales, há uma forma de prevenção muito eficaz contra sífilis e outras doenças sexualmente transmissíveis. ‘‘A melhor maneira é o sexo seguro, com o uso correto e regular da camisinha feminina ou masculina’’, enfatiza.",,"‘A sífilis é caracterizada por quatro etapas: primária – quando ocorre de 10 a 90 dias após o contato sexual, formando-se uma úlcera indolor com base endurecida, rica em treponemas (um gênero de bactéria); secundária, quando surge de seis semanas a seis meses após o contágio, formando-se lesões doloridas na pele e mucosas em forma de roséola; sífilis latente, período no qual não há sinais clínicos da doença, mas há reatividade nos testes imunológicos que detectam os anticorpos, e sífilis terciária, ocorrendo cerca de 2 a 40 anos após o contágio, com lesões nodulares que podem provocar degenerações ósseas, cardiovasculares e neurológicas’’,","A doença pode ser tratada e tem cura, mas, de acordo com o professor, é preciso que o tratamento seja iniciado o mais rápido possível."
"A sífilis pode ser adquirida por meio do ato sexual ou pelo contato com o sangue infectado,ou ser congênita, quando ocorre a transmissão da doença para o bebê durante a gravidez por falta de tratamento adequado.","Em 2019, foram registrados, em Minas Gerais, 8.235 casos de sífilis adquirida, 2.514 casos de sífilis em gestante e 1.336 casos de sífilis congênita. As notificações realizadas mostram maior concentração nos grandes centros urbanos, como Belo Horizonte, Uberaba, Juiz de Fora, Governador Valadares e Montes Claros. . ","A principal forma de prevenção da sífilis é utilizando o preservativo, seja ele masculino ou feminino, em todas as relações sexuais.","Diagnóstico e tratamento

Para acesso ao diagnóstico de sífilis, o usuário do Sistema Único de Saúde (SUS) deve procurar uma Unidade Básica de Saúde (UBS) para fazer exames de sangue (VDRL) e/ou teste rápido. Em casos de exames não reagentes para a doença e histórico de exposição à sífilis, recomenda-se a realização de uma nova testagem após 30 dias, devido ao período de janela imunológica.","Os sintomas variam de acordo com o estágio em que ela se encontra. Em sua primeira fase é caracterizada por uma úlcera, geralmente única, no local de entrada da bactéria (pênis, vulva, vagina, colo uterino, ânus e boca). Entre seis semanas e seis meses após a infecção começa a segunda fase. Nesse caso, podem ocorrer erupções cutâneas. A fase terciária se manifesta na forma de inflamação e destruição tecidual. Nesse caso, é comum o acometimento do sistema nervoso e cardiovascular.

Especificamente para a gestante, a detecção precoce da sífilis é essencial para evitar a transmissão vertical e consequentes má formações no feto. Se não tratada a tempo, a doença pode comprometer o sistema nervoso central, o sistema cardiovascular, aparelho respiratório e gastrointestinal, além de órgãos como olhos, pele e ossos.","Embora o tratamento com penicilina seja muito eficaz nas fases iniciais da doença, métodos de prevenção devem ser implementados, pois adquirir sífilis expõe as pessoas a um risco aumentado para outras IST, inclusive a Aids."
"A sífilis é uma Infecção Sexualmente Transmissível exclusiva do ser humano. É causada por uma bactéria e pode apresentar várias manifestações clínicas, em três diferentes estágios. Nos dois primeiros, a possibilidade de contágio é maior. A doença pode ser transmitida por relação sexual sem camisinha com uma pessoa infectada, por meio de sangue contaminado, ou ser passada da mãe para a criança durante a gestação ou parto. ","O número de casos de sífilis no Brasil tem aumentado nos últimos anos. Segundo o último boletim do Ministério da Saúde, foram notificados 158.051 casos de sífilis adquirida em 2018, crescimento de 28,3% em relação a 2017, quando houve 119.800 casos.","usar camisinha é o método mais acessível e eficaz para se prevenir das Infecções Sexualmente Transmissíveis, como a sífilis e o HIV.","O importante no caso da gestação é que a mãe faça o pré-natal no início da gestação. Se ela procura logo no início, faz o diagnóstico, ela consegue ser tratada a tempo e não passa essa infecção para a criança”.","Quando não tratada, a infecção pode causar comprometimentos sérios do sistema nervoso central, com alterações neurológicas, auditivas, oculares, cardíacas, ósseas e até levar à morte. ","A sífilis tem cura e o tratamento está disponível gratuitamente no Sistema Único de Saúde, o SUS. "
"É importante lembrar que a sífilis, embora seja um IST","De acordo com o ministério da Saúde, em Boletim Epidemiológico divulgado em 2019, houve um aumento de 28,3% nos casos de sífilis no Brasil entre 2017 e 2018. Além disso, em 2018 houve 158 mil casos de sífilis notificados. Em relação à sífilis adquirida, homens representam a maior parcela da população acometida.","Além disso, para prevenir a passagem de sífilis de mãe para filho no caso das gestantes. O círculo da sífilis só será interrompido com informação adequada e rastreamento correto das pessoas mais vulneráveis.",o diagnóstico é feito através de triagem para ISTs ou durante o pré-natal em pessoas assintomáticas.,"Sífilis primária ou cancro duro: ocorre exatamente no local por onde a bactéria entrou. É caracterizada por uma úlcera que não dói e que, dentro de alguns dias, some sem deixar cicatriz. Nessa fase, muitas vezes a pessoa que está com a lesão não a nota, pelo fato de ser indolor.
Sífilis secundária: ocorre aproximadamente de 2 a 3 meses após a fase primária. Nessa fase, as lesões de pele se tornam mais exuberantes e geralmente a pessoa com os sintomas procura o médico. Trata-se de manchas avermelhadas na pele, que podem descamar, e que podem atingir palmas e solas. Além disso, pode-se ter acometimento da mucosa da boca.
Sífilis terciária: essa fase é pouco vista atualmente e ocorre anos ou décadas após a infecção primária. Caracteriza-se por lesões de pele chamadas gomas sifilíticas, que causam destruição da pele e muita dor. Essas lesões podem acometer outros órgãos. Além disso, é mais comum nessa fase o paciente ter sintomas neurológicos.","Com o advento da penicilina, o cenário da sífilis mudou drasticamente. Tal antibiótico permanece até hoje como principal tratamento contra a doença, com taxas de cura altíssimas e sem evidência de desenvolvimento de resistência."
"Considerada uma infecção sexualmente transmissível (IST), a sífilis é provocada pela bactéria Treponema pallidum, transmitida principalmente por via sexual.","O último Boletim Epidemiológico de Sífilis, publicado pelo Ministério da Saúde (MS), aponta o aumento no número de casos da doença no Brasil em todos os cenários da infecção. O levantamento também revela que 90% das pacientes que têm sífilis adquiriram a doença por meio da relação desprotegida. ",Uso de preservativos em relações sexuais por mulheres sem parceiro fixo será sempre uma boa medida de prevenção e cuidado com o corpo.,"Diagnóstico

Estima-se que mais de 70% das crianças infectadas são assintomáticas ao nascimento, sendo de fundamental importância o rastreamento na gestante. “O acompanhamento ecográfico e as consultas periódicas no obstetra durante a gravidez são essenciais para o acompanhamento da gestação, trazendo menores consequências materno-fetais”, afirma a ginecologista.","a sífilis pode apresentar vários sintomas clínicos em curto, médio e longo prazo e a falta de tratamento na fase inicial pode evoluir para a forma mais grave da doença, a sífilis terciária.",O tratamento da sífilis deve ser realizado com penicilina
